id,category,cats,n_parcels,lat,lon,units,address,on_arterial,d_commercial,corridor_200,corridor_300,corridor_400
223,apartment,apartment,1,41.89632092,-87.79884478,,604 WOODBINE AVE,0,1250.8,0,0,0
224,apartment,apartment,1,41.89639443,-87.79812649,,605 N KENILWORTH AVE,0,1422.2,0,0,0
225,apartment,apartment,1,41.8958939,-87.79812327,,541 N KENILWORTH AVE,0,1316.9,0,0,0
226,apartment,apartment,1,41.89578277,-87.79809751,,539 N KENILWORTH AVE,0,1301.7,0,0,0
227,apartment,apartment,1,41.89534436,-87.79808211,,523 N KENILWORTH AVE,0,1231.7,0,0,0
228,apartment,apartment,1,41.89602207,-87.79814126,,545 N KENILWORTH AVE,0,1338.5,0,0,0
229,apartment,apartment,1,41.89631758,-87.79742552,,600 N KENILWORTH AVE,0,1559.5,0,0,0
230,apartment,apartment,1,41.89720951,-87.79514834,,625 N OAK PARK AVE,1,2254.4,1,1,1
231,apartment,apartment,1,41.89585024,-87.7974036,,540 N KENILWORTH AVE,0,1477.8,0,0,0
232,apartment,apartment,1,41.89566518,-87.79589545,,534 N GROVE AVE,0,1807.9,0,0,0
233,apartment,apartment,1,41.89535018,-87.79586576,,524 N GROVE AVE,1,1693.1,1,1,1
234,apartment,apartment,1,41.9013794,-87.78957889,,842 N EAST AVE,0,2669.4,0,0,0
235,apartment,apartment,1,41.8997055,-87.78623285,,744 N ELMWOOD AVE,0,1774.4,0,0,0
236,apartment,apartment,1,41.8971694,-87.7894164,,622 N EAST AVE,0,1433.5,0,0,0
237,apartment,apartment,1,41.89582856,-87.79430739,,536 N OAK PARK AVE,1,1865.4,1,1,1
238,apartment,apartment,1,41.89592589,-87.78693213,,541 N ELMWOOD AVE,0,624.3,0,0,0
239,apartment,apartment,1,41.89540585,-87.7853073,,525 N RIDGELAND AVE,1,215.8,1,1,1
240,apartment,apartment,1,41.89380552,-87.80419113,,425 N MAPLE AVE,1,100.3,1,1,1
241,apartment,apartment,1,41.89413725,-87.80326315,,1101 CHICAGO AVE,1,93.3,1,1,1
242,apartment,apartment,1,41.89388204,-87.8030182,,421 N MARION ST,1,126.7,1,1,1
243,apartment,apartment,1,41.89366581,-87.80303905,,415 N MARION ST,0,169.0,1,1,1
244,apartment,apartment,1,41.89359748,-87.80303581,,413 N MARION ST,0,185.5,1,1,1
245,apartment,apartment,1,41.89339457,-87.80302896,,407 N MARION ST,0,243.5,0,1,1
246,apartment,apartment,1,41.8940737,-87.80068478,,429 FOREST AVE,1,420.1,1,1,1
247,apartment,apartment,1,41.89330611,-87.80065238,,401 FOREST AVE,0,487.7,0,0,0
248,apartment,apartment,1,41.89402635,-87.80239685,,1041 CHICAGO AVE,1,50.4,1,1,1
249,apartment,apartment,1,41.89379511,-87.80254068,,420 N MARION ST,1,63.0,1,1,1
250,apartment,apartment,1,41.89335513,-87.80253839,,404 N MARION ST,0,223.0,0,1,1
251,apartment,apartment,1,41.89321867,-87.80257383,,400 N MARION ST,0,272.5,0,1,1
252,apartment,apartment,1,41.89205405,-87.79858102,,7 ELIZABETH CT,0,1064.0,0,0,0
253,apartment,apartment,1,41.89418492,-87.79653609,,435 N GROVE AVE,1,1316.2,1,1,1
254,apartment,apartment,1,41.89385275,-87.79656025,,427 N GROVE AVE,1,1203.6,1,1,1
255,apartment,apartment,1,41.89308099,-87.79651821,,403 N GROVE AVE 1,0,938.7,0,0,0
256,apartment,apartment,1,41.89354922,-87.79581507,,416 N GROVE AVE,0,1043.4,0,0,0
257,apartment,apartment,1,41.89323455,-87.79583263,,408 N GROVE AVE,0,932.2,0,0,0
258,apartment,apartment,1,41.89292256,-87.79582779,,344 N GROVE AVE,0,821.5,0,0,0
259,apartment,apartment,1,41.8917288,-87.79575886,,310 N GROVE AVE,1,405.9,1,1,1
260,apartment,apartment,1,41.89374052,-87.79502959,,421 N OAK PARK AVE,1,1093.7,1,1,1
